PARA_B,Inherent_Risk,Audit_Risk
10.24,20.808000000000003,4.1616
4.51,7.757999999999999,1.5516
0.79,3.28,0.6559999999999999
0.0,1.404,0.2808
0.33,1.524,0.3048
13.03,12.59,5.0360000000000005
8.59,21.878,37.1926
0.88,1.59,0.318
71.09,84.03200000000002,16.8064
0.47,1.5719999999999998,0.3144
0.0,2.052,0.4104
41.47,54.38399999999999,21.7536
0.05,1.41,0.282
0.0,1.716,0.3432
4.16,4.966,0.9932
6.72,5.564,1.1128
0.97,1.944,0.3888
4.78,4.3660000000000005,0.8732
14.64,23.462,4.6924
0.0,54.43,32.658
1.0,35.444,21.2664
0.0,1.5659999999999998,0.3132
0.0,1.84,0.368
0.02,2.5580000000000003,0.5116
0.0,2.3480000000000003,1.4088
67.37,93.028,18.6056
0.0,1.4,0.28
5.24,4.544,0.9088
36.18,51.04600000000001,30.6276
1.29,1.916,0.3832
0.0,1.912,0.7648
3.71,19.92,3.984
42.61,31.828000000000007,25.4624
1.5,2.214,0.4428
11.52,11.648,4.6592
1.59,6.99,1.398
0.0,1.4,0.28
0.0,1.4,0.28
1.64,6.494,1.2988
0.46,1.5659999999999998,0.3132
113.97,88.83200000000002,17.7664
0.62,1.74,0.348
3.3,3.38,0.6759999999999999
0.41,3.168,0.6336
72.46,54.514,10.9028
0.02,18.552,11.1312
4.6,4.686,0.9372
0.0,5.372000000000001,1.0744
0.0,2.474,0.4948
0.0,1.858,0.3716
16.63,13.05,2.61
0.87,1.586,0.3172
36.16,32.29,19.374
0.0,1.452,0.2904
0.0,1.406,0.2812
79.5,114.992,22.9984
0.01,1.61,0.322
0.17,1.4980000000000002,0.2996
0.0,2.78,0.556
0.0,2.418,0.9672
72.07,56.042,44.8336
0.0,1.556,0.3112
1.28,16.29,3.258
0.81,1.5619999999999998,0.3124
0.0,1.908,0.7632
1.96,2.264,0.4528
0.0,1.466,0.2932
0.0,1.4,0.28
0.82,1.988,0.3976
72.76,52.012,52.012
0.28,1.568,0.3136
0.0,1.936,0.3872
0.83,3.092,1.8552
52.89,36.092,7.2184
0.63,1.648,0.3296
0.55,1.608,0.3216
16.74,40.334,8.0668
1.24,2.082,0.4164
0.16,1.4880000000000002,0.2976
4.83,14.492,2.8984
3.4,20.94,8.376
2.64,4.974,0.9948
0.0,1.82,0.364
1.0,1.7480000000000002,0.3496
1.6,12.118,2.4236
0.0,1.4,0.28
0.0,19.732,3.9464
1.14,2.062,0.4124
28.06,26.388,5.2776
0.0,1.5019999999999998,0.3004
1.56,5.884,1.1768
10.83,19.886,3.9772
0.0,1.4,0.28
0.0,2.8480000000000003,1.7088
45.16,52.79,10.558
0.0,2.062,0.4124
5.94,3.782,0.7564
0.0,1.568,0.3136
2.1,10.782,6.4692
1.1,2.24,0.448
0.0021,1.45242,0.290484
25.74,37.878,15.1512
0.11,1.63,0.326
2.0,3.144,0.6288
0.99,3.632,0.7264
0.37,2.95,0.59
0.0,1.516,0.3032
0.0,1.44,0.288
1.12,6.074,1.2148
0.0,1.442,0.2884
0.57,2.614,1.0456
0.91,1.584,0.3168
0.0,1.904,0.3808
20.62,27.636,11.0544
0.0,1.546,0.3092
4.83,2.5540000000000003,0.5108
0.0,2.052,0.4104
0.0,1.4,0.28
9.49,118.85,23.77
17.85,18.01,3.602
0.14,1.622,0.3244
0.29,1.5659999999999998,0.3132
0.0,1.936,0.7744
0.0,1.412,0.2824
72.0,44.81399999999999,8.9628
16.09,15.166,3.0332
0.0,1.4340000000000002,0.2868
3.53,7.494,1.4988
0.39,2.7460000000000004,0.5492
0.0,1.486,0.2972
0.0,1.418,0.2836
11.68,8.408,1.6816
47.0,45.58600000000001,9.1172
0.0,1.4,0.28
0.44,7.482,1.4964
0.0,1.69,0.338
0.58,1.516,0.3032
0.0,56.54600000000001,45.2368
0.0,1.8,0.72
0.0,2.302,1.3812
0.0,1.54,0.308
0.0,2.04,0.408
46.78,71.492,14.2984
0.0,1.404,0.2808
0.11,1.456,0.2912
87.93,108.362,21.6724
0.99,4.372,0.8744
0.0,1.884,0.3768
67.91,55.812,22.3248
0.04,1.456,0.2912
42.19,58.118,11.6236
67.38,97.656,39.0624
0.0,1.4480000000000002,0.2896
0.75,1.7619999999999998,0.3524
0.0,1.4,0.28
0.91,2.072,0.4144
0.0,2.462,0.4924
0.23,1.548,0.3096
0.0015,1.4623,0.29246
0.0,1.4,0.28
29.25,40.604,8.1208
0.0,2.2,1.32
0.0,1.43,0.286
0.37,1.5759999999999998,0.3152
0.21,1.504,0.3008
0.0,1.4980000000000002,0.2996
0.28,1.496,0.2992
37.33,63.826,12.7652
0.0,1.608,0.3216
0.84,1.5694,0.31388
0.0,2.628,1.5768
2.99,3.2060000000000004,0.6412
0.0,7.84,1.568
0.54,4.508,0.9016
0.0,1.452,0.2904
31.62,60.338,12.0676
0.0,1.486,0.2972
1.58,5.136,1.0272
1.14,7.32,2.928
0.46,1.67,0.334
0.55,3.754,0.7508
0.0,19.91,3.982
0.0023,1.46046,0.292092
0.0025,1.4805,0.2961
0.0,1.904,0.3808
45.51,35.736,7.1472
0.0,1.584,0.3168
0.25,1.506,0.3012
1.47,30.316,18.1896
0.19,1.578,0.3156
0.63,2.93,1.758
0.22,1.444,0.2888
0.0,2.372,1.4232
0.0,1.52,0.304
0.0,1.884,0.7536
1.11,2.64412,1.586472
0.06,1.412,0.2824
0.23,1.446,0.2892
