espTa2O5,espAl2O3,espSiO,Lambda,R
10.0,10.0,10.0,596.42147,11.057045866505941
10.0,10.0,10.0,604.83871,11.14911741650289
10.0,10.0,10.0,613.49693,11.244065360324825
10.0,10.0,20.0,596.42147,11.05730579167216
10.0,10.0,20.0,604.83871,11.14928142223036
10.0,10.0,20.0,613.49693,11.244130450008832
10.0,10.0,30.0,596.42147,11.057738399232791
10.0,10.0,30.0,604.83871,11.14955438607135
10.0,10.0,30.0,613.49693,11.244238782724542
10.0,10.0,40.0,596.42147,11.058342788961568
10.0,10.0,40.0,604.83871,11.149935740007098
10.0,10.0,40.0,613.49693,11.244390133039069
10.0,10.0,50.0,596.42147,11.059117704914968
10.0,10.0,50.0,604.83871,11.150424691570413
10.0,10.0,50.0,613.49693,11.244584186441106
10.0,10.0,60.0,596.42147,11.06006153978148
10.0,10.0,60.0,604.83871,11.151020226590068
10.0,10.0,60.0,613.49693,11.244820540429824
10.0,10.0,70.0,596.42147,11.061172340436444
10.0,10.0,70.0,604.83871,11.151721112695743
10.0,10.0,70.0,613.49693,11.245098705906093
10.0,10.0,80.0,596.42147,11.062447814676664
10.0,10.0,80.0,604.83871,11.15252590356722
10.0,10.0,80.0,613.49693,11.245418108858873
10.0,10.0,90.0,596.42147,11.063885339101795
10.0,10.0,90.0,604.83871,11.153432943907434
10.0,10.0,90.0,613.49693,11.24577809233894
10.0,10.0,100.0,596.42147,11.065481968104354
10.0,10.0,100.0,604.83871,11.154440375115088
10.0,10.0,100.0,613.49693,11.246177918709993
10.0,10.0,110.0,596.42147,11.067234443926507
10.0,10.0,110.0,604.83871,11.155546141630065
10.0,10.0,110.0,613.49693,11.246616772167293
10.0,10.0,120.0,596.42147,11.069139207733489
10.0,10.0,120.0,604.83871,11.15674799792044
10.0,10.0,120.0,613.49693,11.247093761510557
10.0,10.0,130.0,596.42147,11.071192411653207
10.0,10.0,130.0,604.83871,11.158043516079253
10.0,10.0,130.0,613.49693,11.247607923158752
10.0,10.0,140.0,596.42147,11.073389931723266
10.0,10.0,140.0,604.83871,11.159430093993574
10.0,10.0,140.0,613.49693,11.248158224392506
10.0,10.0,150.0,596.42147,11.075727381685423
10.0,10.0,150.0,604.83871,11.160904964048793
10.0,10.0,150.0,613.49693,11.248743566808361
10.0,10.0,160.0,596.42147,11.07820012756275
10.0,10.0,160.0,604.83871,11.162465202326016
10.0,10.0,160.0,613.49693,11.249362789969384
10.0,10.0,170.0,596.42147,11.080803302951452
10.0,10.0,170.0,604.83871,11.164107738251104
10.0,10.0,170.0,613.49693,11.250014675234173
10.0,10.0,180.0,596.42147,11.083531824957479
10.0,10.0,180.0,604.83871,11.16582936465005
10.0,10.0,180.0,613.49693,11.250697949748062
10.0,10.0,190.0,596.42147,11.08638041070386
10.0,10.0,190.0,604.83871,11.167626748164938
10.0,10.0,190.0,613.49693,11.251411290576545
10.0,10.0,200.0,596.42147,11.089343594335228
10.0,10.0,200.0,604.83871,11.16949643998296
10.0,10.0,200.0,613.49693,11.252153328963828
10.0,20.0,10.0,596.42147,11.057305791662758
10.0,20.0,10.0,604.83871,11.149281422221165
10.0,20.0,10.0,613.49693,11.244130449999918
10.0,20.0,20.0,596.42147,11.057565446041739
10.0,20.0,20.0,604.83871,11.149445257089585
10.0,20.0,20.0,613.49693,11.24419547187478
10.0,20.0,30.0,596.42147,11.05799760291667
10.0,20.0,30.0,604.83871,11.149717936560448
10.0,20.0,30.0,613.49693,11.244303691731849
10.0,20.0,40.0,596.42147,11.058601362998903
10.0,20.0,40.0,604.83871,11.150098893206586
10.0,20.0,40.0,613.49693,11.244454884372855
10.0,20.0,50.0,596.42147,11.059375471653336
10.0,20.0,50.0,604.83871,11.150587335386563
10.0,20.0,50.0,613.49693,11.244648735614138
10.0,20.0,60.0,596.42147,11.06031832324306
10.0,20.0,60.0,604.83871,11.15118224998562
10.0,20.0,60.0,613.49693,11.24488484337432
10.0,20.0,70.0,596.42147,11.061427966678218
10.0,20.0,70.0,604.83871,11.151882405917279
10.0,20.0,70.0,613.49693,11.245162719063684
10.0,20.0,80.0,596.42147,11.062702112143487
10.0,20.0,80.0,604.83871,11.152686358368118
10.0,20.0,80.0,613.49693,11.245481789269306
10.0,20.0,90.0,596.42147,11.06413813897152
10.0,20.0,90.0,604.83871,11.153592453765535
10.0,20.0,90.0,613.49693,11.24584139772618
10.0,20.0,100.0,596.42147,11.065733104623675
10.0,20.0,100.0,604.83871,11.154598835444519
10.0,20.0,100.0,613.49693,11.24624080756664
10.0,20.0,110.0,596.42147,11.067483754735841
10.0,20.0,110.0,604.83871,11.155703449986355
10.0,20.0,110.0,613.49693,11.246679203835772
10.0,20.0,120.0,596.42147,11.069386534180948
10.0,20.0,120.0,604.83871,11.156904054198549
10.0,20.0,120.0,613.49693,11.247155696261657
10.0,20.0,130.0,596.42147,11.071437599095544
10.0,20.0,130.0,604.83871,11.15819822270343
10.0,20.0,130.0,613.49693,11.247669322267205
10.0,20.0,140.0,596.42147,11.073632829813453
10.0,20.0,140.0,604.83871,11.15958335609894
